2025-11-28 04:08:00.375 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/masterjunmo/.cache/ttnn,model_cache_path=/home/masterjunmo/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2025-11-28 04:08:09.262 | info     |           Metal | [Timer] add: 122 us (timer.hpp:21)
2025-11-28 04:08:09.440 | info     |           Metal | [Timer] to_device: 3827 us (timer.hpp:21)
2025-11-28 04:08:09.446 | info     |           Metal | [Timer] to_device: 94 us (timer.hpp:21)
2025-11-28 04:08:09.456 | info     |           Metal | [Timer] to_device: 82 us (timer.hpp:21)
2025-11-28 04:08:09.461 | info     |           Metal | [Timer] compile_and_cache_program: 5001 us (timer.hpp:21)
2025-11-28 04:08:09.461 | info     |           Metal | [Timer] transpose: 5079 us (timer.hpp:21)
2025-11-28 04:08:10.403 | info     |           Metal | [Timer] compile_and_cache_program: 941367 us (timer.hpp:21)
2025-11-28 04:08:10.403 | info     |           Metal | [Timer] matmul: 941581 us (timer.hpp:21)
2025-11-28 04:08:10.404 | info     |           Metal | [Timer] compile_and_cache_program: 1085 us (timer.hpp:21)
2025-11-28 04:08:10.404 | info     |           Metal | [Timer] transpose: 1172 us (timer.hpp:21)
2025-11-28 04:08:10.405 | info     |           Metal | [Timer] add: 99 us (timer.hpp:21)
2025-11-28 04:08:10.676 | info     |           Metal | [Timer] to_device: 3821 us (timer.hpp:21)
2025-11-28 04:08:10.683 | info     |           Metal | [Timer] to_device: 139 us (timer.hpp:21)
2025-11-28 04:08:10.690 | info     |           Metal | [Timer] to_device: 84 us (timer.hpp:21)
2025-11-28 04:08:10.690 | info     |           Metal | [Timer] transpose: 172 us (timer.hpp:21)
2025-11-28 04:08:10.692 | info     |           Metal | [Timer] matmul: 2073 us (timer.hpp:21)
2025-11-28 04:08:10.694 | info     |           Metal | [Timer] transpose: 2193 us (timer.hpp:21)
2025-11-28 04:08:10.695 | info     |           Metal | [Timer] add: 124 us (timer.hpp:21)
2025-11-28 04:08:11.403 | info     |           Metal | [Timer] compile_and_cache_program: 708780 us (timer.hpp:21)
2025-11-28 04:08:11.404 | info     |           Metal | [Timer] transpose: 172 us (timer.hpp:21)
2025-11-28 04:08:11.404 | info     |           Metal | [Timer] matmul: 230 us (timer.hpp:21)
2025-11-28 04:08:11.404 | info     |           Metal | [Timer] transpose: 61 us (timer.hpp:21)
2025-11-28 04:08:11.404 | info     |           Metal | [Timer] add: 89 us (timer.hpp:21)
2025-11-28 04:08:11.405 | info     |           Metal | [Timer] compile_and_cache_program: 783 us (timer.hpp:21)
2025-11-28 04:08:11.405 | info     |           Metal | [Timer] transpose: 67 us (timer.hpp:21)
2025-11-28 04:08:11.405 | info     |           Metal | [Timer] matmul: 212 us (timer.hpp:21)
2025-11-28 04:08:11.405 | info     |           Metal | [Timer] transpose: 56 us (timer.hpp:21)
2025-11-28 04:08:11.406 | info     |           Metal | [Timer] add: 74 us (timer.hpp:21)
2025-11-28 04:08:11.406 | info     |           Metal | [Timer] compile_and_cache_program: 737 us (timer.hpp:21)
2025-11-28 04:08:11.407 | info     |           Metal | [Timer] transpose: 65 us (timer.hpp:21)
2025-11-28 04:08:11.407 | info     |           Metal | [Timer] matmul: 213 us (timer.hpp:21)
2025-11-28 04:08:11.407 | info     |           Metal | [Timer] transpose: 55 us (timer.hpp:21)
2025-11-28 04:08:11.407 | info     |           Metal | [Timer] add: 73 us (timer.hpp:21)
