Parsing research_codes/profile_log_device_detailed_nosharding_w0m1.csv...
Detected Frequency: 1350.0 MHz
Processed 1706203 lines

----------------------------------------------------------------------------------------------------------------------------------
ITERATION ANALYSIS (Freq: 1350.0 MHz) - Grouped by Iteration ID
Metrics are averaged across iterations in each group.
Bottleneck analysis: Max duration across all cores.
----------------------------------------------------------------------------------------------------------------------------------

>>> Group: LARGE_BATCH (IDs < 100) (Count: 1, IDs: [1])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
TRISC_2         | ACQUIRE-DST                                   | 0.0003          | 0.0003
TRISC_2         | MATMUL-TILES                                  | 0.0003          | 0.0003
TRISC_0         | MM-INIT                                       | 0.0002          | 0.0002
TRISC_2         | MM-INIT                                       | 0.0002          | 0.0002
TRISC_1         | MM-INIT                                       | 0.0001          | 0.0002

>>> Group: IGNORED/WARMUP (Count: 2, IDs: [0, 3199450955])
RISC            | ZONE                                          | AVG TIME (ms)   | MAX TIME (ms)
----------------------------------------------------------------------------------------------------
BRISC           | BRISC-FW                                      | 1.0619          | 1.9644
BRISC           | BRISC-KERNEL                                  | 1.0364          | 1.9180
BRISC           | NOC-MCAST-WAIT-PADDING                        | 0.8110          | 1.6220
TRISC_2         | TRISC-FW                                      | 0.1933          | 0.2283
TRISC_0         | TRISC-FW                                      | 0.1917          | 0.2252
TRISC_1         | TRISC-FW                                      | 0.1916          | 0.2252
NCRISC          | NCRISC-FW                                     | 0.1910          | 0.2228
TRISC_2         | TRISC-KERNEL                                  | 0.1901          | 0.2257
TRISC_0         | TRISC-KERNEL                                  | 0.1880          | 0.2205
NCRISC          | NCRISC-KERNEL                                 | 0.1879          | 0.2199
TRISC_1         | TRISC-KERNEL                                  | 0.1850          | 0.2158
TRISC_2         | BATCH-ITERATION                               | 0.1618          | 0.1715
TRISC_1         | BATCH-ITERATION                               | 0.1615          | 0.1710
TRISC_0         | BATCH-ITERATION                               | 0.1614          | 0.1709
NCRISC          | NOC-BARRIER-WAIT-IN0-PADDING                  | 0.1450          | 0.1541
BRISC           | IN1-STREAM-MCAST                              | 0.0544          | 0.0625
TRISC_2         | GEMM-PROCESSING                               | 0.0486          | 0.0519
TRISC_1         | GEMM-PROCESSING                               | 0.0466          | 0.0514
TRISC_2         | PACK-PARTIAL                                  | 0.0432          | 0.0472
TRISC_0         | CB-WAIT-FRONT                                 | 0.0391          | 0.0412
BRISC           | NOC-BARRIER-WAIT-IN1-PADDING                  | 0.0288          | 0.0321
TRISC_1         | MATMUL-TILES                                  | 0.0236          | 0.0467
TRISC_1         | PACK-PARTIAL                                  | 0.0189          | 0.0371
BRISC           | READ-IN1-DRAM-TO-SRAM-PADDING                 | 0.0159          | 0.0269
TRISC_0         | GEMM-PROCESSING                               | 0.0099          | 0.0149
NCRISC          | READ-IN0-DRAM-TO-SRAM-PADDING                 | 0.0061          | 0.0062
TRISC_0         | MATMUL-TILES                                  | 0.0013          | 0.0013
TRISC_0         | CB-POP-FRONT                                  | 0.0009          | 0.0009
TRISC_2         | RELEASE-DST                                   | 0.0006          | 0.0006
TRISC_0         | PACK-PARTIAL                                  | 0.0003          | 0.0004
TRISC_1         | RELEASE-DST                                   | 0.0003          | 0.0004
TRISC_0         | RELEASE-DST                                   | 0.0003          | 0.0004
TRISC_2         | CB-WAIT-FRONT                                 | 0.0003          | 0.0003
TRISC_2         | CB-POP-FRONT                                  | 0.0003          | 0.0003
TRISC_1         | ACQUIRE-DST                                   | 0.0003          | 0.0003
TRISC_1         | CB-WAIT-FRONT                                 | 0.0003          | 0.0003
TRISC_2         | ACQUIRE-DST                                   | 0.0003          | 0.0003
TRISC_1         | CB-POP-FRONT                                  | 0.0003          | 0.0003
TRISC_0         | ACQUIRE-DST                                   | 0.0003          | 0.0003
TRISC_2         | MATMUL-TILES                                  | 0.0003          | 0.0003
TRISC_0         | MM-INIT                                       | 0.0002          | 0.0002
TRISC_2         | MM-INIT                                       | 0.0002          | 0.0002
TRISC_1         | MM-INIT                                       | 0.0001          | 0.0001
